ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links
11, TidalCycles API and editor plugin ,"TidalCycles is an Embedded Domain Specific Language for pattern, in use by 10,000s of musicians worldwide. However it has had little work done on the...", Martin Gius , Mentor  Alex McLean , Organization  Haskell.org ,/archive/2021/projects/4943335227129856,https://github.com/polymorphicengine/tidal-gui,No,No,"TidalCycles is an Embedded Domain Specific Language for pattern, in use by 10,000s of musicians worldwide. However it has had little work done on the user interface side; text editor plugins exist for vscode, atom, vim and emacs, but they are all simple wrappers around the ghci REPL. As a result Tidal is difficult to install, with many dependencies (ghc, cabal,libraries, build tools, and the supercollider digital signal processing system and its plugins) which developers may be comfortable with installing, but end-user ‘live coders’ are often turned away by. My idea is to develop the proof-of-concept for a Tidal API and editor plugin that allows new interactions with Tidal, and opens it up to a broader userbase.",[],[]
12, Extend available models and default priors in Bambi ,"This project aims to work on two related problems. On one hand, I would like to implement new family of generalized linear models, such as beta...", Tomas Capretto ," Mentor  Ravin Kumar, Thomas Wiecki ", Organization  NumFOCUS ,/archive/2021/projects/4945908952727552,https://tcapretto.netlify.app/post/2021-08-17-gsoc-2021-final-evaluation/,No,No,"This project aims to work on two related problems. On one hand, I would like to implement new family of generalized linear models, such as beta regression, robust linear regression (i.e. linear model with error following a T-Student distribution) as well as multinomial regression. On the other hand, it is also necessary to incorporate more automatic prior distribution alternatives that do not make use of the GLM module in statsmodels so new models can work smoothly without requiring the user to manually specify priors.",[],[]
13, Interpersonal Identity Verification ,Preventing phone scams by allowing users to assert the validity of unknown callers, Quinn Okabayashi , Mentor  Firstyear , Organization  openSUSE Project ,/archive/2021/projects/4950172815065088,https://qnnokabayashi.github.io/Google-Summer-of-Code-'21-Work-Product/,Yes,No,Preventing phone scams by allowing users to assert the validity of unknown callers,"['https://github.com/kanidm/kanidm/pull/477', 'https://github.com/kanidm/kanidm/pull/479', 'https://github.com/kanidm/kanidm/pull/482', 'https://github.com/kanidm/kanidm/pull/489', 'https://github.com/kanidm/kanidm/pull/544']",['https://github.com/kanidm/kanidm/issues/453']
14, Move custom JS\TS lint checks to eslint ,The project aims to migrate all the JS\TS linter checks written in python using raw parsing algorithms and regex pattern checkers to custom eslint..., Aditya-Dubey ," Mentor  Anshul Hudda, Sajal Asati ", Organization  Oppia Foundation ,/archive/2021/projects/4957804703514624,https://docs.google.com/document/d/1SK-n2Av8yb6rPPZh5XkyLarV-3GLNpr0JaH6rLTGat4/edit?usp=sharing,No,Yes,"The project aims to migrate all the JS\TS linter checks written in python using raw parsing algorithms and regex pattern checkers to custom eslint rules. The migration is going to affect developer experience in the following ways:

Eslint will hold all the checks related to js/ts script in the codebase. 
Enables developers to run all the js/ts lint checks through IDE.
Inforce developers to write new lint checks using one and only structure i.e, eslint custom rules.",[],[]
15, Arabic Sign Language Recognition ,"People with special-needs face a variety of different challenges and barriers that isolate them from their surroundings. Nowadays, several assistive...", Ahmed Moorsy , Mentor  Esha Uboweja , Organization  MediaPipe ,/archive/2021/projects/5757601702215680,https://gitlab.com/harry-dev98/p2p-server/-/blob/docs/doc/GSoC/2021/HarjeetSingh.md,Yes,No,"People with special-needs face a variety of different challenges and barriers that isolate them from their surroundings. Nowadays, several assistive technologies have been developed to reduce many of these barriers and simplify the communication between special-needs persons and the surrounding environment. However, few frameworks are presented to support them in the Arabic region either due to the lack of resources or the complexity of the Arabic language. The main goal of this work is to present a mobile-based framework that will help Arabic deaf people to communicate ‘on the go’ easily with virtually any one without the need of any specific devices or support from other people.",[],[]
16, P2P Messaging App ,A peer to peer messaging app where one could send messages even when there is no internet using ad hoc networks over large area., Harjeet ," Mentor  Aditya Bisoi, Madhav Gaba, Bruno Woltzenlogel Paleo, T Thuvarakan ", Organization  AOSSIE ,/archive/2021/projects/5758182428770304,https://gist.github.com/Himanshu2107/3387a8f92392c64b1d45108eeee80f97,Yes,Yes,A peer to peer messaging app where one could send messages even when there is no internet using ad hoc networks over large area.,"['https://github.com/mit-cml/appinventor-sources/pull/2496', 'https://github.com/mit-cml/appinventor-sources/pull/2508']",[]
17, ANIMATION IMPROVEMENTS ,"The animation portion of the MIT App Inventor, that includes the Canvas, ImageSprite and Ball components, currently has a lot of room for...", Himanshu Garg , Mentor  Evan Patton , Organization  MIT App Inventor ,/archive/2021/projects/5758608838492160,https://github.com/zedlabs/ElementHistoryDialog,No,No,"The animation portion of the MIT App Inventor, that includes the Canvas, ImageSprite and Ball components, currently has a lot of room for improvement. This project improves the following aspects of the animation portion of MIT App Inventor.

Enabling users to choose a custom origin for image sprites using a drag-able marker. The origin of a sprite is the root of the sprite's coordinate system. All of the interactions of the sprite that may include collisions, positioning etc. is with respect to the origin. This project implements the desired functionality of custom origin in the appinventor system and adds an interactive way, via a drag-able marker, for selecting this origin easily.  
Improving the algorithm used to detect collisions among sprites. Right now appinventor uses a naive algorithm to detect collisions between sprites. This collision detection does not work correctly for rotated image sprites and they are treated as if they were unrotated. This projects implements the SAT collision detection algorithm that replaces the naive implementation. This helps detect collisions in rotated image sprites and is more extensible.",[],[]
18, Element History Widget ,This will be a standalone library to display multiple versions of any selected OSM element and allow comparison between the different versions., Zohaib Ansari ," Mentor  rebsc, Simon Poole ", Organization  OpenStreetMap ,/archive/2021/projects/5759143863910400,https://github.com/CCExtractor/Deluge-mobile-remote-client,No,Yes,This will be a standalone library to display multiple versions of any selected OSM element and allow comparison between the different versions.,['https://github.com/CCExtractor/Deluge-mobile-remote-client/pull/58'],[]
19, Deluge Mobile client ,Developing Deluge Client using flutter and dart along with modern material interface., Mohammad Arshad ," Mentor  Carlos Fernandez Sanz, Ritik Harchani ", Organization  CCExtractor Development ,/archive/2021/projects/5759735227219968,https://gist.github.com/Aakash3101/cdc1cc775a672b96a46d3ef8ea366df9,No,Yes,Developing Deluge Client using flutter and dart along with modern material interface.,"['https://github.com/weecology/retriever/pull/1594', 'https://github.com/weecology/retriever/pull/1598', 'https://github.com/weecology/retriever/pull/1600', 'https://github.com/weecology/retriever/pull/1601', 'https://github.com/weecology/retriever/pull/1603', 'https://github.com/weecology/retriever/pull/1605', 'https://github.com/weecology/retriever/pull/1606', 'https://github.com/weecology/retriever/pull/1613', 'https://github.com/weecology/retriever-recipes/pull/125']","['https://github.com/weecology/retriever/issues/1539', 'https://github.com/weecology/retriever/issues/1570', 'https://github.com/weecology/retriever/issues/1572', 'https://github.com/weecology/retriever/issues/1593', 'https://github.com/weecology/retriever/issues/1608']"
20, [Data Retriever]: Support for Login/API ,"The Data Retriever is a package manager for publicly accessible data. The Data retriever automatically finds, downloads, and pre-processes publicly...", Aakash Chaudhary ," Mentor  Henry Senyondo, Ethan White ", Organization  NumFOCUS ,/archive/2021/projects/5761819360100352,https://codesankalp.medium.com/openwisp-wifi-login-pages-project-report-fbc77ff6cc8b,No,No,"The Data Retriever is a package manager for publicly accessible data. The Data retriever automatically finds, downloads, and pre-processes publicly available datasets and it stores these datasets in a ready-to-analyze state. A number of data providers require the use of an account with an associated Login or API key to access data programmatically. The Data Retriever currently has support for the Kaggle API allowing users to securely use the Data Retriever to install datasets hosted by Kaggle. The goal of this project is to find sources of public Data which require a Login/API key to access the data and integrate them into Data Retriever. Two APIs (Socrata and CKAN) have been thoroughly researched and can be added. The users will place the appropriate credentials in a file in their home directory. The Data Retriever will automatically identify the required credential files and handle the login/API request to download the dataset.",[],[]
21, Bring professional efficiency to OpenWISP WiFi Login Pages ,"The primary aim of this project was to bring professional efficiency by reducing boilerplate code, reducing the number of configuration lines with...", Sankalp (codesankalp) ," Mentor  Marco Cappellacci, Federico Capoano ", Organization  OpenWISP ,/archive/2021/projects/5762226845122560,https://github.com/postgis/postgis/pull/619,No,Yes,"The primary aim of this project was to bring professional efficiency by reducing boilerplate code, reducing the number of configuration lines with additions of some important features like multi-language translation support, reusable token validation, server-side logging, and fast response time by reducing build size. Increasing test coverage (>95%) and adding headless browser tests (using selenium) for success and failure responses with interactions between different pages.
This will make the code of openwisp-wifi-login-pages more robust to handle any stressful conditions with backend openwisp-radius.","['/login?return_to=https%3A%2F%2Fgithub.com%2Fpostgis%2Fpostgis%2Fpull%2F619', '/login?return_to=https%3A%2F%2Fgithub.com%2Fpostgis%2Fpostgis%2Fpull%2F619', 'https://github.com/postgis/postgis/pull/429', '/login?return_to=https%3A%2F%2Fgithub.com%2Fpostgis%2Fpostgis%2Fpull%2F619', 'https://github.com/postgis/postgis/pull/619']",[]
22, Implement sorting methods for PostGIS data types before building GiST index ,Create and test pre-sorting methods of z-order and Hilbert curve for elements in GiST index to check if it will improve the performance of index..., HanwGeek ," Mentor  Giuseppe Broccolo, Regina Obe ", Organization  OSGeo - Open Source Geospatial Foundation ,/archive/2021/projects/5762639296200704,https://github.com/apache/gora/pull/246,No,No,Create and test pre-sorting methods of z-order and Hilbert curve for elements in GiST index to check if it will improve the performance of index building process.,"['/login?return_to=https%3A%2F%2Fgithub.com%2Fapache%2Fgora%2Fpull%2F246', '/login?return_to=https%3A%2F%2Fgithub.com%2Fapache%2Fgora%2Fpull%2F246', '/login?return_to=https%3A%2F%2Fgithub.com%2Fapache%2Fgora%2Fpull%2F246', 'https://github.com/apache/gora/pull/246']",[]
23, Support JOOQ API within gora-sql module ,Currently the gora-sql module is outdated and only supports mysql database scheme. This module can be rewritten in JOOQ in such a way that it can..., infaz ," Mentor  Madhawa Gunasekara, Kevin Ratnasekera ", Organization  The Apache Software Foundation ,/archive/2021/projects/5762844951314432,https://github.com/syslog-ng/syslog-ng/pull/3702,No,Yes,Currently the gora-sql module is outdated and only supports mysql database scheme. This module can be rewritten in JOOQ in such a way that it can support any Relationshional database store [2]. JOOQ is a widely used Java framework which helps to build applications where persistence requires and is highly regarded by industry specialists over Hibernate & JDBC [2]. Hibernate itself is very distant from normal sql queries and JDBC has security concerns and also too much hassle when it comes to transaction handling. JOOQ will be a very good addition to the Apache Gora project as it creates a path for Relational databases to work with apache gora seamlessly.,"['/login?return_to=https%3A%2F%2Fgithub.com%2Fsyslog-ng%2Fsyslog-ng%2Fpull%2F3702', '/login?return_to=https%3A%2F%2Fgithub.com%2Fsyslog-ng%2Fsyslog-ng%2Fpull%2F3702', 'https://github.com/syslog-ng/syslog-ng/pull/3702#discussion_r651039461', 'https://github.com/syslog-ng/syslog-ng/pull/3702#issuecomment-873362478', 'https://github.com/syslog-ng/syslog-ng/pull/3702', 'https://github.com/syslog-ng/syslog-ng/pull/3702', 'https://github.com/syslog-ng/syslog-ng/pull/3702#event-5034688593', 'https://github.com/syslog-ng/syslog-ng/pull/3702#event-5055271706', '/login?return_to=https%3A%2F%2Fgithub.com%2Fsyslog-ng%2Fsyslog-ng%2Fpull%2F3702']",[]
24, GSoC 2021 Proposal: Add regexp-parser() (Xiaoyu Qiu) ,"Using regular expressions to parse messages is very common and useful. Currently, syslog ng supports extracting fields (or name-value pairs) in its...", Xiaoyu Qiu , Mentor  Balázs Scheidler , Organization  syslog-ng ,/archive/2021/projects/5764881537564672,https://gist.github.com/KB5201314/7f0acf0239f9b1388be55f5cd0bb2b43,No,No,"Using regular expressions to parse messages is very common and useful. Currently, syslog ng supports extracting fields (or name-value pairs) in its filter expressions. However, those are primarily meant for filtering and don't store extracted groups by default (despite we can manually add store-matches flags option). To make up for this deficiency, this project is to develop a new parser type, here I call it regexp-parser(). The motivation behind regexp-parser() is to remove the need to use filters to extract name-value pairs from content, which has traditionally been done by parsers. And these names can be used as user-defined macros for subsequent filtering or other types of message processing.",[],[]
25, Porting PRoot to Rust ,"Implement a prototype version of proot with Rust language, with the most basic features.", imlk , Mentor  Lucas Ramage , Organization  openSUSE Project ,/archive/2021/projects/5766063425323008,https://publiclab.org/notes/17sushmita/08-23-2021/gsoc-report-tag-topic-system-refinements,No,Yes,"Implement a prototype version of proot with Rust language, with the most basic features.","['https://github.com/publiclab/plots2/pull/9770', 'https://github.com/publiclab/plots2/pull/9828', 'https://github.com/publiclab/plots2/pull/9879', 'https://github.com/publiclab/plots2/pull/9902', 'https://github.com/publiclab/plots2/pull/9954', 'https://github.com/publiclab/plots2/pull/9940', 'https://github.com/publiclab/plots2/pull/10028', 'https://github.com/publiclab/plots2/pull/10068']","['https://github.com/publiclab/plots2/issues/9712', 'https://github.com/publiclab/plots2/issues/9774', 'https://github.com/publiclab/plots2/issues/9850']"
26, GSoC Proposal 2021: Tag/Topic System Refinements ,"This project aims at improving the Tag/Topic system at Publiclab.org by fixing some known bugs and implementing various features like Topic Tree,...", Sushmita ," Mentor  Jeffrey Yoo Warren, Naman Gupta, Ruth Waiganjo ", Organization  Public Lab ,/archive/2021/projects/5767565355253760,https://gist.github.com/m-e-l-u-h-a-n/c77c0d69d53fd617f8f5375dbae1eaca,No,Yes,"This project aims at improving the Tag/Topic system at Publiclab.org by fixing some known bugs and implementing various features like Topic Tree, Clarifying Power tag and General Tag View, Tag locking, some UI improvements in Tag/Topics display in sidebar deleting tags added by banned users etc.","['https://github.com/zulip/zulip/pull/18872', 'https://github.com/zulip/zulip/pull/19156', 'https://github.com/zulip/zulip/pull/19189', 'https://github.com/zulip/zulip/pull/19330', 'https://github.com/zulip/zulip/pull/18957', 'https://github.com/zulip/zulip/pull/19309', 'https://github.com/zulip/zulip/pull/19301', 'https://github.com/zulip/zulip/pull/18911', 'https://github.com/zulip/zulip/pull/18671', 'https://github.com/zulip/zulip/pull/18886', 'https://github.com/zulip/zulip/pull/18697', 'https://github.com/zulip/zulip/pull/18972', 'https://github.com/zulip/zulip/pull/19002', 'https://github.com/zulip/zulip/pull/19039', 'https://github.com/zulip/zulip/pull/19100', 'https://github.com/zulip/zulip/pull/18724', 'https://github.com/zulip/zulip/pull/18788', 'https://github.com/zulip/zulip/pull/18497', 'https://github.com/zulip/zulip/pull/18515', 'https://github.com/zulip/zulip/pull/18593', 'https://github.com/zulip/zulip/pull/19297', 'https://github.com/zulip/zulip/pull/18627', 'https://github.com/zulip/zulip/pull/18592', 'https://github.com/zulip/zulip/pull/18502', 'https://github.com/zulip/zulip/pull/19061', 'https://github.com/zulip/zulip/pull/19193', 'https://github.com/zulip/zulip/pull/18817', 'https://github.com/zulip/zulip/pull/19533', 'https://github.com/zulip/zulip/pull/18823', 'https://github.com/zulip/zulip/pull/18888', 'https://github.com/zulip/zulip/pull/19109', 'https://github.com/zulip/zulip/pull/19364', 'https://github.com/zulip/zulip/pull/19484']","['https://github.com/zulip/zulip/issues/19110', 'https://github.com/zulip/zulip/issues/18949']"
27," Improve stream management, message viewing and left sidebar ","This project aims at improving the workflow for managing streams by improving their editing UI, adding more permission sets, refactor existing...", Purushottam Tiwari ," Mentor  Shubham Dhama, Pragati Agrawal ", Organization  Zulip ,/archive/2021/projects/5767957774336000,https://rishabh-lfs.medium.com/gsoc21-new-plots-final-report-6fce16da399d,No,No,"This project aims at improving the workflow for managing streams by improving their editing UI, adding more permission sets, refactor existing permissions to make it is easy for both users and administrators to handle subscriptions for streams more easily by finishing long-pending features like Default Stream Groups.
As stream settings and left sidebar is closely affected by any change in either of them so a parallel aim would be to improve Zulip's left-sidebar according to changed stream settings features and also to add new features to it so that it becomes more interactive rather than just listing streams/topics/PMs.
I also aim to improve the performance of web app for narrowing to different message views, by fixing various high priority issues that are related to the message view area. Along with performance-related issues in message viewing I aim to solve issues related to interleaved views in Private message views by utilizing recent topics UI for this and improving image previewing support for messages.",[],[]
